Server is running on port: 3030Server is running on port: 30305.5.2024, 17:36:56 - INFO - Server is running on port: 3030 
5.5.2024, 17:53:55 - INFO - Server is running on port: 3030 
5.5.2024, 17:55:21 - INFO - Server is running on port: 3030 
5.5.2024, 17:55:36 - INFO - Server is running on port: 3030 
5.5.2024, 17:56:19 - INFO - Server is running on port: 3030 
5.5.2024, 17:56:27 - INFO - Server is running on port: 3030 
5.5.2024, 17:59:18 - INFO - Server is running on port: 3030 
5.5.2024, 18:02:13 - INFO - Server is running on port: 3030 
5.5.2024, 18:06:41 - INFO - Server is running on port: 3030 
5.5.2024, 18:51:01 - INFO - Server is running on port: 3030 
5.5.2024, 18:55:16 - INFO - Server is running on port: 3030 
5.5.2024, 18:56:04 - INFO - Server is running on port: 3030 
5.5.2024, 18:58:34 - INFO - Server is running on port: 3030 
5.5.2024, 19:23:42 - INFO - Server is running on port: 3030 
5.5.2024, 19:26:12 - INFO - Server is running on port: 3030 
5.5.2024, 19:26:41 - INFO - Server is running on port: 3030 
5.5.2024, 19:29:35 - INFO - Server is running on port: 3030 
5.5.2024, 19:33:30 - INFO - Server is running on port: 3030 
5.5.2024, 19:35:15 - INFO - Server is running on port: 3030 
5.5.2024, 19:35:48 - INFO - Server is running on port: 3030 
5.5.2024, 19:53:34 - INFO - Server is running on port: 3030 
5.5.2024, 19:54:46 - INFO - Server is running on port: 3030 
5.5.2024, 19:55:51 - INFO - Server is running on port: 3030 
5.5.2024, 19:57:04 - INFO - Server is running on port: 3030 
5.5.2024, 19:57:16 - INFO - Server is running on port: 3030 
5.5.2024, 19:57:38 - INFO - Server is running on port: 3030 
5.5.2024, 19:57:40 - INFO - A user connected 
5.5.2024, 19:57:40 - INFO - A user joinCodeBlock 
5.5.2024, 19:57:43 - INFO - A user connected 
5.5.2024, 19:57:43 - INFO - A user joinCodeBlock 
5.5.2024, 19:57:52 - INFO - A user connected 
5.5.2024, 19:57:52 - INFO - A user joinCodeBlock 
5.5.2024, 19:57:54 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:58:00 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:58:06 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:58:07 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:58:19 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:58:35 - ERROR - Error updating code block: | ReferenceError: CodeBlock is not defined 
5.5.2024, 19:59:26 - INFO - Server is running on port: 3030 
5.5.2024, 19:59:31 - INFO - A user connected 
5.5.2024, 19:59:31 - INFO - A user joinCodeBlock 
5.5.2024, 19:59:35 - INFO - A user connected 
5.5.2024, 19:59:35 - INFO - A user joinCodeBlock 
5.5.2024, 20:13:51 - INFO - A user connected 
5.5.2024, 20:13:51 - INFO - A user joinCodeBlock 
5.5.2024, 20:13:52 - INFO - A user connected 
5.5.2024, 20:13:52 - INFO - A user joinCodeBlock 
